;data;tipo_di_ricovero;totali_tipi_ricovero
582;23/05/2020;post-critica;217
583;24/05/2020;post-critica;217
584;25/05/2020;post-critica;199
585;26/05/2020;post-critica;199
586;27/05/2020;post-critica;191
587;28/05/2020;post-critica;191
588;29/05/2020;post-critica;188
589;30/05/2020;post-critica;150
590;31/05/2020;post-critica;137
591;01/06/2020;post-critica;137
592;02/06/2020;post-critica;128
593;03/06/2020;post-critica;128
594;04/06/2020;post-critica;116
595;05/06/2020;post-critica;114
596;06/06/2020;post-critica;107
597;07/06/2020;post-critica;99
598;08/06/2020;post-critica;96
599;09/06/2020;post-critica;78
600;10/06/2020;post-critica;78
601;11/06/2020;post-critica;76
602;12/06/2020;post-critica;72
603;13/06/2020;post-critica;67
604;14/06/2020;post-critica;62
605;15/06/2020;post-critica;58
606;16/06/2020;post-critica;58
607;17/06/2020;post-critica;58
608;18/06/2020;post-critica;44
609;19/06/2020;post-critica;40
610;20/06/2020;post-critica;40
611;21/06/2020;post-critica;40
612;22/06/2020;post-critica;40
613;23/06/2020;post-critica;40
614;24/06/2020;post-critica;20
615;25/06/2020;post-critica;19
616;26/06/2020;post-critica;7
617;27/06/2020;post-critica;7
618;28/06/2020;post-critica;7
619;29/06/2020;post-critica;7
620;30/06/2020;post-critica;7
621;01/07/2020;post-critica;7
622;02/07/2020;post-critica;7
623;03/07/2020;post-critica;7
624;04/07/2020;post-critica;2
625;05/07/2020;post-critica;2
626;06/07/2020;post-critica;2
627;07/07/2020;post-critica;2
628;08/07/2020;post-critica;2
629;09/07/2020;post-critica;2
630;10/07/2020;post-critica;2
631;11/07/2020;post-critica;2
632;12/07/2020;post-critica;2
633;13/07/2020;post-critica;2
634;14/07/2020;post-critica;2
635;15/07/2020;post-critica;2
636;16/07/2020;post-critica;2
637;17/07/2020;post-critica;2
638;18/07/2020;post-critica;2
639;19/07/2020;post-critica;2
640;20/07/2020;post-critica;2
641;21/07/2020;post-critica;2
642;22/07/2020;post-critica;2
643;23/07/2020;post-critica;2
644;24/07/2020;post-critica;2
645;25/07/2020;post-critica;2
646;26/07/2020;post-critica;2
647;27/07/2020;post-critica;2
648;28/07/2020;post-critica;2
649;29/07/2020;post-critica;2
